string,size,runtimes
problem201,1,6.096648693084717
problem101,1,5.640398740768433
problem1,1,4.98738694190979
problem301,1,5.135432481765747
problem401,1,6.306728363037109
problem302,2,6.265105247497559
problem202,2,6.608943462371826
problem402,2,6.672736167907715
problem2,2,5.638753890991211
problem102,2,7.126598834991455
problem203,3,8.470031499862671
problem403,3,9.045408010482788
problem3,3,9.575948238372803
problem303,3,9.093979358673096
problem103,3,7.962270021438599
problem204,4,13.24304723739624
problem304,4,12.906216859817505
problem404,4,12.489965438842773
problem104,4,13.73092794418335
problem4,4,13.032437562942505
problem305,5,17.387617111206055
problem205,5,15.808613061904907
problem5,5,16.33600878715515
problem405,5,17.785507917404175
problem105,5,16.704758167266846
problem206,6,25.183552742004395
problem406,6,22.913172006607056
problem106,6,23.499578952789307
problem306,6,21.9340398311615
problem6,6,29.883666276931763
problem107,7,26.730108976364136
problem307,7,32.80922555923462
problem207,7,31.948850631713867
problem407,7,26.21918559074402
problem7,7,35.133514165878296
problem308,8,34.73870348930359
problem108,8,43.6188588142395
problem208,8,39.34085011482239
problem408,8,42.59940266609192
problem8,8,33.26063942909241
problem109,9,50.42516326904297
problem9,9,58.69637632369995
problem409,9,52.23883390426636
problem209,9,66.5361921787262
problem309,9,52.14886212348938
problem210,10,71.52209138870239
problem10,10,70.80672335624695
problem310,10,64.5127785205841
problem410,10,60.06526231765747
problem110,10,64.19761204719543
problem311,11,85.23249292373657
problem211,11,72.72424578666687
problem11,11,83.76630902290344
problem411,11,89.43697905540466
problem111,11,106.73528409004211
problem412,12,114.19349002838135
problem112,12,146.864164352417
problem12,12,94.86727142333984
problem312,12,106.06900763511658
problem212,12,104.0003273487091
problem413,13,115.60892033576965
problem213,13,114.10126948356628
problem13,13,169.63946843147278
problem113,13,166.28967237472534
problem313,13,206.60272121429443
problem214,14,174.66402649879456
problem414,14,179.21279311180115
problem14,14,188.6889009475708
problem114,14,174.3803014755249
problem314,14,196.9447762966156
problem215,15,233.04766488075256
problem115,15,231.50898051261902
problem315,15,215.9894368648529
problem15,15,275.4812695980072
