string,size,runtimes
problem201,1,4.537821054458618
problem101,1,1.3357563018798828
problem1,1,1.499866247177124
problem301,1,2.019840955734253
problem401,1,1.2918193340301514
problem302,2,6.027899265289307
problem202,2,3.1526854038238525
problem402,2,3.598982334136963
problem2,2,14.119914531707764
problem102,2,9.023773193359375
problem203,3,7.003803730010986
problem403,3,6.867821931838989
problem3,3,5.015817403793335
problem303,3,6.307877540588379
problem103,3,4.4438393115997314
problem204,4,15.219711065292358
problem304,4,11.2597975730896
problem404,4,11.091926097869873
problem104,4,11.967850685119629
problem4,4,11.523646354675293
problem305,5,18.70797872543335
problem205,5,26.639841318130493
problem5,5,16.891711235046387
problem405,5,20.235924243927002
problem105,5,16.875645875930786
problem206,6,30.072271585464478
problem406,6,31.60362410545349
problem106,6,49.5716290473938
problem306,6,24.971845388412476
problem6,6,44.88388776779175
problem107,7,37.9838490486145
problem307,7,138.867689371109
problem207,7,56.88381361961365
problem407,7,38.84454011917114
problem7,7,75.9471640586853
problem308,8,77.92794418334961
problem108,8,110.12765598297119
problem208,8,119.32787322998047
problem408,8,63.631691694259644
problem8,8,47.45996689796448
problem109,9,100.33178925514221
problem9,9,106.2397255897522
problem409,9,89.3919038772583
problem209,9,117.12074375152588
problem309,9,70.51509094238281
problem210,10,111.05980372428894
problem10,10,139.98370480537415
problem310,10,90.77989840507507
problem410,10,179.1159336566925
problem110,10,119.69178128242493
problem311,11,320.491619348526
problem211,11,147.55210518836975
problem11,11,159.50783276557922
problem411,11,199.55989694595337
problem111,11,233.3517792224884
