string,size,runtimes
problem201,1,1.2270052433013916
problem101,1,1.6162796020507812
problem1,1,1.055279016494751
problem301,1,1.0280864238739014
problem401,1,0.850881814956665
problem302,2,24.959099531173706
problem202,2,3.7037432193756104
problem402,2,3.004988431930542
problem2,2,10.038029670715332
problem102,2,9.273653745651245
problem203,3,9.491685152053833
problem403,3,4.957744836807251
problem3,3,3.9068140983581543
problem303,3,4.804152250289917
problem103,3,4.376714468002319
problem204,4,45.10565757751465
problem304,4,11.879185914993286
problem404,4,9.613680839538574
problem104,4,11.650121212005615
problem4,4,11.58960771560669
problem305,5,13.884744644165039
problem205,5,27.76643419265747
problem5,5,15.919332265853882
problem405,5,23.418217182159424
problem105,5,11.29863953590393
problem206,6,19.230106830596924
problem406,6,21.370890617370605
problem106,6,59.321139335632324
problem306,6,20.001868963241577
problem6,6,27.143038034439087
problem107,7,22.394773721694946
problem307,7,63.414788246154785
problem207,7,32.54031801223755
problem407,7,34.12385416030884
problem7,7,46.238977909088135
problem308,8,74.38927459716797
problem108,8,63.39529299736023
problem208,8,53.48321008682251
problem408,8,35.689781188964844
problem8,8,29.707390785217285
problem109,9,62.74989986419678
problem9,9,69.2030463218689
problem409,9,66.5775454044342
problem209,9,84.53116393089294
problem309,9,49.81798315048218
problem210,10,80.2962257862091
problem10,10,74.23054957389832
problem310,10,61.16840386390686
problem410,10,148.59891819953918
problem110,10,91.51024460792542
problem311,11,518.5971331596375
problem211,11,83.1605281829834
problem11,11,101.08955144882202
problem411,11,102.16768884658813
problem111,11,338.68900990486145
problem412,12,201.8716802597046
problem112,12,1636.7530472278595
problem12,12,166.28865265846252
problem312,12,123.19464135169983
problem212,12,141.4587743282318
problem413,13,176.39267206192017
problem213,13,183.6390540599823
problem13,13,216.8384714126587
problem113,13,356.4485511779785
problem313,13,249.19082808494568
problem214,14,276.4749050140381
problem414,14,444.70457005500793
problem14,14,267.7889018058777
problem114,14,307.9926428794861
problem314,14,245.6266143321991
problem215,15,216.8661403656006
problem115,15,372.4741475582123
problem315,15,282.95605540275574
problem15,15,456.9343099594116
