string,size,runtimes
problem201,1,0.5156605243682861
problem101,1,0.43892502784729004
problem1,1,0.35560083389282227
problem301,1,0.4850459098815918
problem401,1,0.4195740222930908
problem302,2,2.295314311981201
problem202,2,2.946857213973999
problem402,2,2.1567633152008057
problem2,2,2.0482678413391113
problem102,2,2.3839097023010254
problem203,3,5.917216777801514
problem403,3,6.84047269821167
problem3,3,5.185498952865601
problem303,3,6.777767658233643
problem103,3,4.1587913036346436
problem204,4,13.699984073638916
problem304,4,10.90339207649231
problem404,4,13.631609678268433
problem104,4,14.908608436584473
problem4,4,12.45137619972229
problem305,5,17.919342041015625
problem205,5,21.01494526863098
problem5,5,14.520801782608032
problem405,5,25.270529985427856
problem105,5,21.97947406768799
problem206,6,41.12550330162048
problem406,6,32.49460220336914
problem106,6,38.926801681518555
problem306,6,32.44138717651367
problem6,6,79.02889657020569
problem107,7,61.89044427871704
problem307,7,75.30455613136292
problem207,7,93.13543343544006
problem407,7,53.62811732292175
problem7,7,103.31221628189087
problem308,8,71.90587210655212
problem108,8,119.70334100723267
problem208,8,91.85509204864502
problem408,8,95.53707599639893
problem8,8,76.25817251205444
problem109,9,153.30378341674805
problem9,9,191.7446253299713
problem409,9,160.555278301239
problem209,9,215.5952286720276
problem309,9,141.7712836265564
problem210,10,211.86882615089417
problem10,10,220.65577912330627
problem310,10,166.65255904197693
problem410,10,176.76554489135742
problem110,10,190.86587381362915
problem311,11,220.61828708648682
problem211,11,233.27624106407166
problem11,11,335.76827597618103
problem411,11,270.93441796302795
problem111,11,336.9811897277832
problem412,12,434.9723243713379
problem112,12,671.5038549900055
problem12,12,315.2298469543457
problem312,12,360.1651213169098
problem212,12,360.38334226608276
problem413,13,411.8236403465271
problem213,13,382.8508322238922
problem13,13,541.1463418006897
problem113,13,554.8140068054199
problem313,13,662.0674686431885
problem214,14,644.4995956420898
problem414,14,641.4372794628143
problem14,14,705.4588439464569
problem114,14,572.3429026603699
problem314,14,663.9321057796478
problem215,15,809.0447900295258
problem115,15,806.7562997341156
problem315,15,704.0606071949005
problem15,15,848.4606213569641
