string,size,runtimes
problem201,1,2.5650265216827393
problem101,1,2.417896270751953
problem1,1,2.397855281829834
problem301,1,2.41045880317688
problem401,1,2.4087436199188232
problem302,2,8.676387071609497
problem202,2,8.70705270767212
problem402,2,8.687188148498535
problem2,2,8.645716428756714
problem102,2,8.713539838790894
problem203,3,20.8967387676239
problem403,3,19.8475661277771
problem3,3,17.89076590538025
problem303,3,22.016705989837646
problem103,3,16.809113025665283
problem204,4,37.08610701560974
problem304,4,33.89155125617981
problem404,4,37.99663758277893
problem104,4,39.07470726966858
problem4,4,34.89970636367798
problem305,5,58.298585176467896
problem205,5,57.19714856147766
problem5,5,48.96661138534546
problem405,5,65.23754477500916
problem105,5,58.00256848335266
problem206,6,92.91189694404602
problem406,6,82.19282460212708
problem106,6,88.28625059127808
problem306,6,83.28064155578613
problem6,6,137.6281123161316
problem107,7,118.11799669265747
problem307,7,150.01591539382935
problem207,7,160.39414405822754
problem407,7,126.8994710445404
problem7,7,174.31275033950806
problem308,8,176.84185910224915
problem108,8,232.10873103141785
problem208,8,197.43014121055603
problem408,8,188.60771346092224
problem8,8,154.41310453414917
problem109,9,276.0426194667816
problem9,9,301.8991062641144
problem409,9,284.8128137588501
problem209,9,360.66629934310913
problem309,9,252.27166891098022
problem210,10,362.9799404144287
problem10,10,372.57316756248474
problem310,10,294.57516622543335
problem410,10,327.23674392700195
problem110,10,325.3005452156067
problem311,11,448.22342324256897
problem211,11,420.4404969215393
problem11,11,483.4979360103607
problem411,11,444.4455900192261
problem111,11,536.542076587677
problem412,12,644.5773179531097
problem112,12,743.3701765537262
problem12,12,554.5118579864502
problem312,12,565.4391100406647
problem212,12,546.1380341053009
problem413,13,661.9124400615692
problem213,13,626.3715589046478
problem13,13,898.2990794181824
problem113,13,873.8017907142639
problem313,13,962.1875092983246
problem214,14,1000.035477399826
problem414,14,941.9537370204926
problem14,14,1000.0347380638123
problem114,14,820.519679069519
problem314,14,991.3404622077942
problem215,15,1000.0335443019867
problem115,15,1000.0394349098206
problem315,15,1000.0357117652893
problem15,15,1000.0325853824615
