string,size,runtimes
problem201,1,0.7567691802978516
problem101,1,0.9163024425506592
problem1,1,1.1197891235351562
problem301,1,0.6249101161956787
problem401,1,1.2431299686431885
problem302,2,2.815502882003784
problem202,2,2.662235736846924
problem402,2,2.5649971961975098
problem2,2,2.7884726524353027
problem102,2,7.9651384353637695
problem203,3,7.215355157852173
problem403,3,8.175605535507202
problem3,3,6.343807697296143
problem303,3,7.917966365814209
problem103,3,7.364444255828857
problem204,4,18.894644737243652
problem304,4,13.872699499130249
problem404,4,17.026161432266235
problem104,4,36.31161546707153
problem4,4,13.404520750045776
problem305,5,24.535839319229126
problem205,5,37.87012553215027
problem5,5,34.85879373550415
problem405,5,27.939602375030518
problem105,5,53.6114616394043
problem206,6,43.65665650367737
problem406,6,38.17510962486267
problem106,6,66.46172499656677
problem306,6,93.71484041213989
problem6,6,76.56149315834045
problem107,7,42.95828151702881
problem307,7,86.3424642086029
problem207,7,75.83918857574463
problem407,7,94.68815279006958
problem7,7,101.46904230117798
problem308,8,111.68765640258789
problem108,8,130.31017112731934
problem208,8,97.22442531585693
problem408,8,72.84446668624878
problem8,8,65.18952703475952
problem109,9,139.0170226097107
problem9,9,150.61685132980347
problem409,9,138.54881310462952
problem209,9,206.75917148590088
problem309,9,215.54600715637207
problem210,10,167.11855626106262
problem10,10,165.43685626983643
problem310,10,400.27347207069397
problem410,10,240.7109637260437
problem110,10,183.6677143573761
problem311,11,226.04694819450378
problem211,11,361.61216950416565
problem11,11,245.34012007713318
problem411,11,253.38315439224243
problem111,11,299.90169048309326
problem412,12,297.50710916519165
problem112,12,737.532422542572
problem12,12,414.96656489372253
problem312,12,277.0038650035858
problem212,12,203.0922191143036
problem413,13,264.8404359817505
problem213,13,321.25890731811523
problem13,13,673.4269387722015
problem113,13,561.0850431919098
problem313,13,547.255628824234
problem214,14,676.4392337799072
problem414,14,479.9555473327637
problem14,14,579.9135086536407
problem114,14,645.9514997005463
problem314,14,579.4886591434479
problem215,15,262.60895228385925
problem115,15,540.7458329200745
problem315,15,520.0234289169312
problem15,15,841.9352977275848
