i,j,tinisat,lingeling,dagster2,dagster3,dagster5,dagster9,dagster17,dagster33
0,1,0,0,1.3943901062011719,1.3919949531555176,1.4440240859985352,1.4880132675170898,1.6000452041625977,1.6878902912139893
0,2,0,0,17.271881580352783,12.560016393661499,13.744031190872192,12.68809461593628,14.623843908309937,15.615938425064087
0,3,0,0,10.571892738342285,9.772038221359253,10.283819437026978,10.244060039520264,10.464051485061646,12.4079909324646
0,4,0,0,28.859830379486084,26.947989463806152,24.501384973526,25.1305890083313,26.536006927490234,36.7800612449646
0,5,0,0,45.52368640899658,44.19600749015808,39.78817367553711,40.62228608131409,45.82568597793579,61.20370054244995
0,6,0,0,114.07998847961426,96.69993209838867,86.39210629463196,93.97984457015991,106.32818531990051,153.46387124061584
0,7,0,0,195.96388578414917,159.28398966789246,141.37220311164856,143.08376574516296,175.16404223442078,258.8316881656647
0,8,0,0,211.42010879516602,191.21194052696228,180.99604725837708,172.80408763885498,185.1079182624817,254.77178525924683
0,9,0,0,406.89195919036865,343.8081257343292,299.58406805992126,304.93173480033875,358.2481210231781,508.65586614608765
0,10,0,0,556.8098468780518,471.2121195793152,417.6198699474335,436.0320372581482,472.79576086997986,671.4414975643158
0,11,0,0,789.7682237625122,658.6679770946503,591.4799795150757,583.2440550327301,680.1239058971405,856.2155537605286
0,12,0,0,1112.5087938308716,921.3238618373871,786.8080644607544,781.3476197719574,838.9718103408813,1132.8528394699097
0,13,0,0,1601.385048866272,1346.2252261638641,1139.5623152256012,1066.1922082901,1275.346363067627,1583.6910121440887
0,14,0,0,1962.1822805404663,1606.0222826004028,1401.2477357387543,1344.6982550621033,1497.3345329761505,1662.1636741161346
0,15,0,0,2725.297642469406,2287.8760855197906,1888.7802267074585,1836.5601527690887,2111.480057954788,2255.4335510730743
1,1,0,0,3.0696794986724854,1.1961033344268799,1.3158762454986572,1.384166955947876,1.4117939472198486,1.4679434299468994
1,2,0,0,5.776002883911133,5.775775909423828,5.624220371246338,5.612104892730713,5.855777740478516,6.59596061706543
1,3,0,0,11.0440514087677,8.5438871383667,8.688340425491333,8.93962812423706,9.119938611984253,10.59580397605896
1,4,0,0,29.780158042907715,27.524037837982178,26.9039626121521,27.811861276626587,28.955951690673828,41.751981258392334
1,5,0,0,43.88382911682129,39.70407295227051,38.800031423568726,41.59200119972229,45.52789521217346,61.659706830978394
1,6,0,0,101.68822145462036,85.85999488830566,83.72791957855225,84.27206754684448,96.39986753463745,142.59194135665894
1,7,0,0,134.98001670837402,118.54797220230103,112.90799188613892,117.35202980041504,127.79990410804749,168.13599014282227
1,8,0,0,288.8319799900055,241.0360701084137,207.70393347740173,220.91602301597595,252.3916277885437,383.3919994831085
1,9,0,0,367.5322015285492,306.71190071105957,277.8399498462677,278.69228315353394,328.0561332702637,467.9915301799774
1,10,0,0,546.0079054832458,463.00006437301636,417.33992552757263,444.74807810783386,499.2158305644989,706.9599719047546
1,11,0,0,986.3230962753296,818.4679837226868,679.9080274105072,663.4800462722778,791.1597673892975,1159.075584411621
