i,j,dagster,tinisat,lingeling
0,1,5.40614104271,3.65884709358,3.2869811058
0,2,21.3009650707,48.7326090336,27.5141420364
0,3,11.5759689808,37.8275837898,74.7152500153
0,4,11.8517549038,52.7254359722,51.4811630249
0,5,35.152203083,214.048290968,294.089339018
0,6,45.954775095,298.634768963,386.533899069
0,7,53.4198720455,436.210988045,554.965346098
1,1,2.90766000748,1.65919995308,2.26726603508
1,2,8.57595801353,20.10333395,33.1993761063
1,3,10.7959730625,37.2306849957,96.4776580334
1,4,17.6328670979,86.9504609108,122.517326117
1,5,35.820127964,193.480822802,213.823706865
1,6,65.207930088,384.190920115,379.987504959
1,7,53.6038610935,473.190765142,575.787705183
2,1,2.75775694847,0.987575054169,1.37822198868
2,2,8.78989505768,20.4355611801,32.1961610317
2,3,10.2399230003,29.8120100498,60.1445870399
2,4,24.6878709793,91.8889331818,144.928848982
2,5,30.7878918648,180.931915045,278.897047997
2,6,37.7760469913,271.963999033,330.907949209
2,7,77.7918729782,712.251089096,565.887677908
3,1,3.06764483452,1.61750602722,0.852074861526
3,2,4.8598048687,7.81494498253,9.31837391853
3,3,26.2269778252,44.1650669575,50.0371639729
3,4,22.4770169258,98.380179882,183.178285122
3,5,19.2507090569,127.51145196,176.474958897
3,6,46.1130781174,285.205323935,386.078958035
3,7,62.7559428215,449.504340887,667.198441982
4,1,2.43172001839,1.79464817047,2.08558011055
4,2,7.43094205856,12.7435901165,15.9854400158
4,3,16.9159171581,51.6444571018,93.5400319099
4,4,16.4088330269,69.0373668671,230.647799969
4,5,40.244040966,221.744665146,258.00279808
4,6,53.3278880119,494.831362009,440.93215394
4,7,54.3938288689,530.524236917,547.486570835
5,1,2.67414307594,2.00576090813,2.01008605957
5,2,7.39559793472,23.118158102,31.4270329475
5,3,15.8437070847,44.2170710564,54.4547958374
5,4,31.1233420372,93.8666820526,144.213214874
5,5,37.3607361317,166.390105009,219.403844118
5,6,46.0669500828,298.635149956,311.716031075
5,7,77.7728190422,693.163649797,593.121016979
6,1,4.29173398018,1.74343299866,3.88720107079
6,2,4.2788579464,5.78406596184,6.28430294991
6,3,10.9090280533,33.8110370636,30.3513419628
6,4,10.9358639717,48.0886349678,53.8359041214
6,5,26.5791499615,171.188428164,230.499768019
6,6,42.0286810398,342.566202879,314.687082052
6,7,73.5040118694,607.460139036,608.231032848
7,1,5.04761600494,4.27006602287,1.92716002464
7,2,7.21220993996,11.984112978,12.4469940662
7,3,13.5784859657,50.9112172127,69.7772510052
7,4,26.4698171616,130.416708231,160.529395103
7,5,23.7420480251,136.438267946,223.51966691
7,6,30.3649549484,243.647646904,321.29799819
7,7,67.2080709934,730.230699062,553.980444193
8,1,6.92766189575,9.1120300293,3.98393201828
8,2,4.48777508736,5.40113091469,6.4831738472
8,3,8.02807378769,21.8639330864,44.6106100082
8,4,16.1027700901,105.414384127,117.067044973
8,5,36.6641490459,150.617630005,266.271486044
8,6,26.0208411217,210.97178483,242.039939165
8,7,69.3313508034,528.240584135,550.755805016
9,1,4.75234389305,1.89842391014,1.87254095078
9,2,5.26730895042,8.04269385338,6.73496603966
9,3,10.5765562057,25.1648321152,23.4237000942
9,4,16.6907529831,77.8832588196,121.981648207
9,5,59.2412960529,219.261569023,227.229948044
9,6,41.1197118759,312.326527834,379.968820095
9,7,57.7429389954,495.577354193,571.613317013
10,1,3.44476985931,1.90016317368,1.77938389778
10,2,6.44387102127,9.07436013222,15.3068270683
10,3,12.1042120457,36.8606472015,41.7697169781
10,4,16.8235580921,80.5024139881,172.80368185
10,5,29.6158368587,211.357690811,259.611716986
10,6,42.5684299469,368.815438986,474.564735889
10,7,67.5755519867,604.491973877,512.676815987
11,1,3.31177091599,1.16225004196,1.94339418411
11,2,9.77592396736,12.2039120197,26.4813370705
11,3,19.6227760315,52.8308930397,48.030381918
11,4,16.9690032005,88.3131580353,146.522380829
11,5,17.9678139687,109.9264431,159.756875038
11,6,61.3722560406,307.313550949,325.006927013
11,7,51.8796958923,446.918971062,605.395611048
12,1,7.20991897583,4.95420002937,3.11730694771
12,2,7.14891695976,12.8928489685,11.2234749794
12,3,10.4211730957,22.4423570633,19.7660410404
12,4,15.7344429493,83.8889141083,215.00316
12,5,27.2329390049,172.941429138,262.298096895
12,6,56.0840680599,373.158025026,383.988042831
12,7,62.7959821224,544.609012127,517.669827938
13,1,3.86656212807,3.33196997643,3.46906208992
13,2,6.205078125,9.46478414536,13.7396540642
13,3,10.4761152267,33.986741066,20.4099149704
13,4,22.2865099907,97.4290678501,170.148391962
13,5,47.1530439854,217.743930817,237.702134132
13,6,38.6604909897,292.011091948,360.478763819
13,7,80.9593889713,632.694576979,535.659575939
