i,j,tinisat,lingeling,dagster 2,dagster 3,dagster 5,dagster 9,dagster 17,dagster 33,dagster 65
0,1,4.035527706,3.610078812,5.259328365,5.292808771,5.336423635,5.49413085,5.652249098,6.5163064,8.216058254
0,2,5.852945328,6.963492155,3.899682283,3.686076641,3.74392724,3.963092089,4.211827517,4.484318256,4.866550922
0,3,22.07086229,24.27147794,7.844110727,6.127871513,6.087824345,6.36822176,6.328410625,6.723830462,8.073385477
0,4,54.43171334,61.4692204,14.90413785,10.29213405,9.940710783,11.04327202,10.74926877,11.59568667,14.52593517
0,5,154.8373129,282.5517426,31.62846184,22.30709314,20.4055891,19.93378377,21.21625519,22.8076365,30.52476597
0,6,364.0338356,436.4651415,98.15259576,58.56091881,45.21127534,43.71248984,43.97312784,46.75556946,62.79419732
0,7,502.4561236,630.0838444,113.6348953,69.35099864,50.32770681,49.63252187,49.55988717,52.1835525,69.2931807
0,8,1025.293333,889.8143275,195.0749464,116.9645493,78.85520697,76.26953387,76.37121224,84.41635227,116.7475092
0,9,1426.804984,1333.047119,245.6308739,150.3528681,109.7228866,90.80441403,93.59173679,99.34122825,113.6298516
1,1,1.449697018,2.328518391,1.197998047,1.173046827,1.261058807,1.357139349,1.412156582,1.529134274,1.848457575
1,2,11.10605741,24.34045434,4.361769199,3.781505108,3.944329262,4.143030167,4.400000095,4.764139175,5.598675966
1,3,67.67030597,81.6432941,19.27588725,14.28920174,14.37759328,14.08271551,14.99521899,15.79803991,18.8357892
1,4,78.46845698,140.0329251,27.49990249,17.75745058,16.54116392,16.40558243,17.44782734,18.70237303,23.68708873
1,5,239.1358767,335.0703266,103.9109416,68.22293258,47.69436526,42.30102706,44.02694488,48.07177186,61.60399127
1,6,318.6238263,399.8344219,73.42762375,48.45038724,37.33054757,35.78920627,37.17111635,39.36151075,52.28229403
1,7,780.9312706,533.0579319,432.2218108,216.2009132,106.3868372,89.49529862,91.65115786,99.77310729,130.9181836
1,8,690.6225312,703.823338,129.1562338,79.47969794,59.63483,58.99824572,59.52263856,64.23687744,86.46316147
1,9,1986.097218,1691.758349,473.9018388,273.7796965,174.0206048,146.2782426,150.196322,170.5716777,194.8226106
2,1,10.47794628,4.061855555,5.498163939,5.46936512,5.605257273,5.888857603,6.203236818,6.561772108,8.168070078
2,2,9.819606781,10.90646172,7.020675182,6.152932882,5.44506979,5.621764183,5.888586044,6.352822542,7.425706863
2,3,100.0646267,72.86386538,44.57213497,30.25134659,30.66403365,29.42655706,34.64093351,36.84076762,43.68138433
2,4,65.82436085,114.3413866,22.00807095,15.17537069,13.62559605,14.67441201,16.08543801,16.83903837,20.50130367
2,5,164.0669158,285.6310196,49.1090982,31.98950553,23.78047943,23.10995364,22.82274556,24.58947134,30.93561339
2,6,445.7165303,553.7234738,117.6099529,71.13486624,50.45287466,47.8537426,52.09153104,54.05139136,70.81833649
2,7,520.4434586,532.1801467,140.2177606,84.62052226,64.83490491,61.74389315,63.73346758,68.12107968,92.38344622
2,8,1043.440846,920.59442,271.4292665,158.9819791,99.68261409,91.08565259,89.73606467,100.3455906,135.2564113
2,9,1343.219602,1305.238428,292.0619411,170.7476258,114.9004016,106.5461092,104.3282363,115.1289108,139.4172328
3,1,1.866138935,1.178849936,0.766415596,0.7120015621,0.7487621307,0.8414494991,0.9035322666,0.9773406982,1.312811136
3,2,14.42198014,15.3821454,7.499876022,7.47241497,7.816627502,7.654696703,7.936799526,8.380035639,9.641870975
3,3,48.08359146,64.26914334,14.42146921,10.57709837,9.897068739,9.631363392,10.04317427,10.50469828,13.02251291
3,4,57.08247733,82.22854662,22.05475426,17.45646191,17.22321439,17.08389735,18.29798365,19.2800858,23.66991806
