copies,processors,dagster memory (KB),subproblem CNF size (KB),combined CNF size (KB)
1,2,67144,4267,4267
1,3,69996,4267,4267
1,5,70292,4267,4267
1,9,69900,4267,4267
51,2,72800,4267,326422
51,3,73084,4267,326422
51,5,73484,4267,326422
51,9,73756,4267,326422
101,2,78724,4267,662190
101,3,79800,4267,662190
101,5,80228,4267,662190
101,9,79944,4267,662190
151,2,88272,4267,1028115
151,3,89104,4267,1028115
151,5,89164,4267,1028115
151,9,89332,4267,1028115
201,2,101112,4267,1421851
201,3,101932,4267,1421851
201,5,101808,4267,1421851
201,9,102112,4267,1421851
251,2,117340,4267,1815588
251,3,118092,4267,1815588
251,5,117924,4267,1815588
251,9,118396,4267,1815588
301,2,137148,4267,2209325
301,3,139172,4267,2209325
301,5,138896,4267,2209325
301,9,137708,4267,2209325
351,2,160620,4267,2603062
351,3,162384,4267,2603062
351,5,160540,4267,2603062
351,9,160568,4267,2603062
